n_timesteps,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,LossAfter,ItrTime,Time-Sampling,train-EnvExecTime,Itr,Time-SampleProc,train-MinReturn,Time,train-MaxReturn,LossBefore,Time-Optimization,train-NumTrajs,train-PolicyExecTime
430000,125.31968073286693,215.67793587805212,5.0785494712589765,-0.0038319605,18.321993112564087,18.05399250984192,3.1295523643493652,42,0.020998477935791016,183.09363461113574,793.3928914070129,226.0798779367489,-9.810197e-06,0.24700212478637695,100,14.640607833862305
440000,124.50605326724082,213.97986774556222,12.921448500435917,-0.0048220395,18.17499303817749,17.90099549293518,3.105339527130127,43,0.021997451782226562,99.93771754170919,811.5808827877045,224.15510888825386,-9.739897e-06,0.252000093460083,100,14.53346872329712
450000,125.81910777917955,216.81154407085833,4.188920783352023,-0.0043173637,18.15099287033081,17.879992961883545,3.035614252090454,44,0.020997285842895508,205.06764469971873,829.7458758354187,226.67016053859658,-9.6733975e-06,0.24900197982788086,100,14.550309181213379
460000,126.18918801711185,217.59524439779796,3.7158899113909496,-0.0038695808,18.133991241455078,17.865997076034546,3.0601303577423096,45,0.025997400283813477,206.78140894722608,847.8938663005829,228.11038244041748,-9.601458e-06,0.24199676513671875,100,14.552262783050537
470000,126.43890880988114,218.34118364493207,5.088020410488568,-0.0031729834,18.219993829727173,17.94199538230896,3.075265884399414,46,0.021998167037963867,189.01929628892026,866.1268608570099,226.67673941281316,-9.477953e-06,0.2539999485015869,100,14.554862260818481
480000,126.72372511319809,218.84338115001432,5.624113416405508,-0.0044558872,18.109052419662476,17.835055351257324,3.123883008956909,47,0.027996063232421875,193.1356901820854,884.2499132156372,232.2152201687581,-9.367305e-06,0.2460010051727295,100,14.457464933395386
490000,126.9897405754439,219.54766353978076,3.924690852620669,-0.0041635996,18.199992895126343,17.933026552200317,3.037076950073242,48,0.016966581344604492,202.3285444155755,902.4639065265656,229.71573646631472,-9.2709e-06,0.24899888038635254,100,14.598619937896729
500000,127.6348535737482,221.11397634280394,4.182969849637706,0.0007325157,18.176990509033203,17.88799262046814,3.0560057163238525,49,0.021998882293701172,202.63100974827353,920.6538987159729,236.0551331314613,-9.151589e-06,0.26599907875061035,100,14.492120742797852
510000,128.2497366581299,222.34044753145608,5.716210785838432,0.0025039597,18.167994022369385,17.881997108459473,3.097476005554199,50,0.01999807357788086,199.53509862088583,938.8348915576935,239.49496434276082,-9.010331e-06,0.26399874687194824,100,14.520899295806885
520000,128.80709612382623,223.74006247893726,6.85878238065873,0.0027934746,18.576992750167847,18.276991605758667,3.1595747470855713,51,0.0240023136138916,193.2708967113142,957.4248838424683,236.4819433113496,-8.915597e-06,0.27399635314941406,100,14.855350971221924
530000,128.74805331654977,223.8055351736724,6.238647664211596,-0.0014270656,18.413994073867798,18.11502432823181,3.065805435180664,52,0.018967628479003906,197.41887148392524,975.8518776893616,235.745478805733,-8.815751e-06,0.27900218963623047,100,14.787955284118652
