train-MinReturn,n_timesteps,train-PolicyExecTime,train-AverageReturn,ItrTime,train-StdReturn,train-EnvExecTime,Time-Optimization,Time,train-NumTrajs,train-MaxReturn,LossAfter,Time-SampleProc,Itr,LossBefore,Time-Sampling,train-AverageDiscountedReturn
31.90374348791933,1520000,13.811603307723999,121.90553074321166,16.87499237060547,30.910739131299803,2.5114805698394775,0.25699877738952637,2545.5818707942963,100,208.25929699695712,-0.01006095,0.026998043060302734,151,-7.629395e-09,16.588995218276978,69.43635386679861
17.40240816882245,1530000,13.659921646118164,120.15283726224732,16.751991748809814,31.698902999751272,2.5360403060913086,0.2639622688293457,2562.3478631973267,100,181.21108588033232,-0.0109101925,0.026035547256469727,152,1.525879e-08,16.460992336273193,69.40280026040078
31.642170061451065,1540000,13.535805940628052,121.29045656074155,16.683991193771362,29.065948699770022,2.594264268875122,0.26199793815612793,2579.044853210449,100,189.14754008200052,-0.003502131,0.029999494552612305,153,-1.2969971e-08,16.391993761062622,69.8594542638729
20.176925540041793,1550000,13.76317834854126,119.14667518441073,16.803993463516235,32.2099726196226,2.503009080886841,0.25896477699279785,2595.862846851349,100,193.5062715507334,-0.011016772,0.02202916145324707,154,-9.155274e-09,16.521993160247803,68.94934077494958
61.418805564344424,1560000,13.566325187683105,118.78100293445158,16.686991691589355,29.23033808007734,2.5539731979370117,0.26396632194519043,2612.562837123871,100,183.32561160100332,-0.006689041,0.029030323028564453,155,-6.1035155e-09,16.3939950466156,68.1923127574251
51.001445766426166,1570000,13.670780420303345,124.44816550797697,16.737991333007812,33.263520947853294,2.514885902404785,0.2589993476867676,2629.3138291835785,100,191.95251799857132,-0.012407135,0.024999380111694336,156,7.629395e-09,16.45299220085144,71.67051409978627
-4.242511228161447,1580000,13.621562242507935,118.11259968984263,16.64599108695984,34.58249986832624,2.475386381149292,0.25499725341796875,2645.973820209503,100,204.96914573640237,-0.0128628705,0.02200031280517578,157,3.8146974e-09,16.36699104309082,66.94613013875362
31.964647211328725,1590000,13.767785787582397,117.59833111335824,16.907992124557495,32.57455008454167,2.5376858711242676,0.2649683952331543,2662.8958129882812,100,179.98457338944579,-0.010287996,0.02703070640563965,158,9.155274e-09,16.613028049468994,67.7737240239274
24.312612732362147,1600000,13.59975790977478,122.56225319349669,16.610992908477783,35.901216574864065,2.4606165885925293,0.2559995651245117,2679.5218045711517,100,200.73361514303215,-0.013835168,0.02099919319152832,159,4.8828124e-08,16.333994150161743,69.57264269750917
52.61134710430246,1610000,13.625203609466553,132.57549915473402,16.58799386024475,31.529405874499542,2.40989089012146,0.2570011615753174,2696.122797012329,100,204.6626354440831,-0.011620663,0.02799701690673828,160,1.2207031e-08,16.301995038986206,75.86701995756931
