n_timesteps,train-StdReturn,ItrTime,train-AverageDiscountedReturn,train-MinReturn,LossBefore,LossAfter,train-NumTrajs,train-MaxReturn,Time-SampleProc,Time-Sampling,Itr,train-AverageReturn,train-PolicyExecTime,Time,Time-Optimization,train-EnvExecTime
910000,34.769713638492206,17.362349271774292,2.158336897439517,-76.51228229416503,-3.0517577e-09,-0.03954123,100,73.80906161878414,0.04254317283630371,16.91019034385681,90,2.43977049024296,13.999590873718262,1582.4614510536194,0.40961575508117676,2.647275447845459
920000,38.632893611754035,16.812424421310425,2.740011086610593,-136.22347038852212,-1.0681152e-08,-0.02216059,100,139.7421937793404,0.027002811431884766,16.531452894210815,91,3.353821790130318,13.717681884765625,1599.292873620987,0.25296807289123535,2.5553860664367676
930000,46.89434386284345,18.350813627243042,1.2827074016138744,-146.75269399182477,-6.1035155e-09,-0.022003977,100,90.0617458344756,0.02696681022644043,18.053847312927246,92,1.1912467615934856,14.94589877128601,1617.6576871871948,0.268998384475708,2.805511474609375
940000,42.574063294977755,16.962937831878662,3.8272578578204883,-162.96466144076945,1.373291e-08,-0.02794261,100,88.88592612009506,0.020971298217773438,16.683971166610718,93,4.387234314323059,13.878121852874756,1634.6346242427826,0.2579953670501709,2.5050337314605713
950000,44.775989261644405,16.879820823669434,3.763483686690847,-95.84299525712363,6.1035155e-09,-0.046918478,100,130.78283779473907,0.023998498916625977,16.60282278060913,94,4.922328262825541,13.809319257736206,1651.5284447669983,0.25299954414367676,2.5348925590515137
960000,44.34057016742778,17.072938203811646,3.5121384889469067,-144.94921332244795,-1.5258789e-09,-0.038226467,100,108.64440401106407,0.02996683120727539,16.78397250175476,95,3.3337436828881852,13.996403217315674,1668.6163818836212,0.2589988708496094,2.5420725345611572
970000,40.75099074884471,17.027076721191406,3.055908954276545,-112.94828371731593,-6.1035155e-09,-0.036799766,100,96.27229957059528,0.02502918243408203,16.74308180809021,96,2.486362764776721,13.922104120254517,1685.657458782196,0.25896573066711426,2.561528205871582
980000,47.74047615136124,16.511489629745483,5.302850484823982,-118.49444447442626,1.525879e-08,-0.026426224,100,124.17630852030565,0.022998809814453125,16.219491243362427,97,7.472232439352439,13.528466701507568,1702.1829493045807,0.26800012588500977,2.4245858192443848
990000,43.03635319174329,17.005669355392456,2.5507369354901455,-113.27578183800824,-9.155274e-09,-0.031869795,100,167.956522992248,0.024966001510620117,16.718703031539917,98,3.0373675080974425,13.941578388214111,1719.2016186714172,0.26200032234191895,2.5290064811706543
1000000,49.033395011543725,16.572941780090332,8.833781788340868,-113.54337566429496,-1.525879e-08,-0.048132297,100,133.74049922798605,0.020975112915039062,16.290969133377075,99,12.48968938054983,13.562251567840576,1735.7875592708588,0.2609975337982178,2.464773654937744
