Itr,Time-SampleProc,train-MaxReturn,train-PolicyExecTime,train-MinReturn,train-StdReturn,Time-Sampling,Time-Optimization,ItrTime,train-NumTrajs,LossBefore,n_timesteps,Time,train-EnvExecTime,LossAfter,train-AverageReturn,train-AverageDiscountedReturn
107,0.026971101760864258,267.8351065373517,14.181741714477539,232.14277116471567,6.133271309187283,17.378191232681274,0.25299549102783203,17.65815782546997,100,-3.0517577e-09,1080000,1970.4942889213562,2.9439311027526855,-0.0001861084,258.3168576036451,143.9591371973652
108,0.022995948791503906,266.5657939254103,14.33379578590393,244.73953226080064,5.23353660557387,17.6661958694458,0.2630000114440918,17.955193042755127,100,0.001187677,1090000,1988.4624831676483,3.062093734741211,-0.0019676758,258.5693278409697,143.9819419585742
109,0.020998001098632812,270.96472293548203,14.247023344039917,241.36051315569128,5.225992892619971,17.47464418411255,0.259000301361084,17.754642486572266,100,9.155274e-09,1100000,2006.2311265468597,2.946838140487671,0.010809937,260.8487906400515,144.8418082037658
110,0.019999027252197266,271.41139568996704,13.938786745071411,247.66182428529885,4.012865221739036,17.125932216644287,0.268998384475708,17.415929079055786,100,0.035125226,1110000,2023.6595680713654,2.9219350814819336,0.0028301207,261.6318911914737,145.06849672348235
111,0.024960994720458984,271.18880957447374,13.984123229980469,250.6663834550545,4.179565833940983,17.2375385761261,0.288999080657959,17.55249786376953,100,3.0517577e-09,1120000,2041.2250652313232,2.999391555786133,0.0034585586,262.2883474087933,145.36354386727783
112,0.02299666404724121,270.38020556414983,14.155404329299927,246.58068345933026,3.9865228834396507,17.398505926132202,0.26599955558776855,17.687502145767212,100,6.1035155e-09,1130000,2058.9265682697296,2.9791488647460938,-0.0005653076,262.8943283642166,145.60586043552985
113,0.025996923446655273,270.0969333835217,14.006489276885986,252.71152339926113,3.6712624684118214,17.332026481628418,0.26000261306762695,17.6180260181427,100,3.0517577e-09,1140000,2076.5575942993164,3.0554776191711426,0.003078836,264.10695730667817,145.9783864431368
114,0.026999473571777344,270.9736634031026,14.313000440597534,247.65837025724719,3.859168293769796,17.58375120162964,0.2800877094268799,17.891838550567627,100,-9.155274e-09,1150000,2094.462431907654,3.012819528579712,0.00035075683,264.99046149316206,146.31436596083122
115,0.023998022079467773,272.1537862295534,14.713239908218384,256.51016643928125,3.337639986333875,18.19497585296631,0.27199792861938477,18.49197292327881,100,-9.155274e-09,1160000,2112.9674034118652,3.1381149291992188,0.00060942385,264.98420773813797,146.28257437935991
116,0.01898050308227539,272.2427323527278,14.448943853378296,256.152540639628,2.796099067455314,17.752835988998413,0.2625091075897217,18.03432559967041,100,1.2207031e-08,1170000,2131.0147318840027,3.0352213382720947,-0.0020144624,264.9812193617451,146.2593279540829
117,0.019018888473510742,271.76521520070327,14.037494421005249,254.9932639765564,3.6079910322145627,17.323044776916504,0.25896692276000977,17.601030588150024,100,0.012691247,1180000,2148.6287639141083,3.0254812240600586,-0.0009077148,265.2649402217074,146.42404409200213
118,0.02199697494506836,273.9718188011304,13.72350549697876,255.12311473936234,3.5020887826804197,16.910444974899292,0.259002685546875,17.191444635391235,100,1.2207031e-08,1190000,2165.8332085609436,2.9518308639526367,0.001835852,266.011418327749,146.5919247515351
119,0.027997255325317383,274.84597008923595,13.981367826461792,258.95952572225866,2.999828614261736,17.187220096588135,0.2635326385498047,17.479750394821167,100,2.2888185e-09,1200000,2183.3269584178925,2.9400434494018555,0.015804406,268.06170969580876,147.43981213138053
120,0.018039226531982422,277.33124595108313,14.505817174911499,256.6692259929553,3.6801503171218615,17.88134503364563,0.2720003128051758,18.172383785247803,100,-1.5258789e-09,1210000,2201.5123431682587,3.0893607139587402,0.005734232,268.84401141621134,147.68477496102906
121,0.021999597549438477,279.0351291402111,14.578965663909912,248.63058110429023,5.292295721572708,17.93042516708374,0.27907609939575195,18.23150086402893,100,-9.155274e-09,1220000,2219.7588436603546,3.0574660301208496,0.0030933411,269.01928954520713,147.365797605917
122,0.022964000701904297,278.9949750685177,14.740369081497192,257.90481338035056,3.7559909238118485,18.131712675094604,0.26451730728149414,18.420193195343018,100,-9.155274e-09,1230000,2238.191961288452,3.0679128170013428,0.0024440032,270.274831667666,148.16690997142865
123,0.02299785614013672,277.1474317205123,14.735220670700073,257.90094769991094,3.531242649762193,18.18022608757019,0.2670292854309082,18.472253561019897,100,0.007744287,1240000,2256.67821764946,3.151869058609009,0.0006933472,270.50159690276587,148.51088164471733
124,0.025996923446655273,277.7768476523502,14.20719027519226,261.05720401561797,2.991010634587496,17.454281330108643,0.2765686511993408,17.758846044540405,100,-7.629395e-09,1250000,2274.4510645866394,2.989804744720459,0.0027835022,270.6379933003598,148.58335250290028
125,0.018000125885009766,277.72472118369313,14.580490589141846,256.10170853965093,4.016167633357511,17.93760085105896,0.2429971694946289,18.19959783554077,100,-3.0517577e-09,1260000,2292.6641755104065,3.068070650100708,0.0047141816,270.9529234650618,148.79016438257563
126,0.018999099731445312,279.69012274839685,14.079233646392822,252.839338012663,5.140358916213153,17.341296195983887,0.25699734687805176,17.61829447746277,100,-1.5258789e-09,1270000,2310.295470237732,2.951695442199707,0.024963679,271.29452325118154,148.6413921171041
127,0.020982742309570312,280.694382030695,13.9507577419281,175.53214809878128,18.3184359101267,17.105103492736816,0.2460002899169922,17.37308645248413,100,-2.4414062e-08,1280000,2327.6815571784973,2.9168498516082764,0.0007145294,267.2726755241456,146.2816067583757
128,0.021966934204101562,279.0362016961179,14.029061794281006,249.5036102789054,4.6576168018974435,17.209960460662842,0.2540013790130615,17.485928773880005,100,2.4414062e-08,1290000,2345.180485725403,2.916344404220581,0.0097209355,271.89442123766327,148.70182053103926
129,0.017999649047851562,279.1141535540125,14.09291410446167,258.8306639173759,3.927070074955875,17.23511266708374,0.25600123405456543,17.509113550186157,100,3.0517577e-09,1300000,2362.7035994529724,2.877885341644287,0.00015606995,272.59252449056027,149.426412877792
130,0.025029420852661133,282.10366636785216,14.048622608184814,255.40478871770796,4.801617479188109,17.16576838493347,0.2609686851501465,17.452766180038452,100,-6.1035155e-09,1310000,2380.1693646907806,2.8494975566864014,0.00043609008,272.15670136635595,149.11776531132273
131,0.027962446212768555,282.2559398415482,14.468522310256958,261.40408409359407,3.873130550021058,17.678142070770264,0.2719998359680176,17.97914147377014,100,1.525879e-08,1320000,2398.1615047454834,2.9593558311462402,0.002110559,273.43980051194046,149.78025754835457
132,0.021973133087158203,282.647349212344,14.624223709106445,166.70312387138216,12.145843783239634,17.987091064453125,0.2560000419616699,18.265064239501953,100,-2.4414062e-08,1330000,2416.440569162369,3.0704755783081055,-0.0057674805,271.38908827848684,148.47801121094008
133,0.023998260498046875,281.56393904706886,14.643829107284546,215.82579148071636,7.1321689328303375,17.988285303115845,0.2775394916534424,18.289823055267334,100,1.335144e-09,1340000,2434.7433931827545,3.0706722736358643,-0.002870875,273.15116655952863,149.42542033150863
134,0.026972532272338867,281.266035524653,14.323312997817993,138.3937630610069,14.124118815533304,17.537747621536255,0.2519991397857666,17.81671929359436,100,3.0517577e-09,1350000,2452.578114271164,2.947181224822998,-0.0045387605,272.3081660606826,149.2471383400947
135,0.024999380111694336,281.0033231065711,14.323240756988525,263.38448611065445,3.3187190551045145,17.557757139205933,0.27147746086120605,17.854233980178833,100,2.4414062e-08,1360000,2470.4453485012054,2.9588494300842285,-0.0016679993,273.1561074515128,149.42915634753265
136,0.02499675750732422,280.12236477442855,14.556191205978394,255.84820867532255,4.2619505883713735,17.811652421951294,0.2520029544830322,18.08965229988098,100,-6.1035155e-09,1370000,2488.550000667572,2.992629289627075,-0.0017523193,273.30479300765984,149.60292947136585
137,0.02099919319152832,283.47900045018025,14.547659873962402,265.5202452761579,3.5103330683740057,17.882482528686523,0.25644683837890625,18.159928560256958,100,9.155274e-09,1380000,2506.723927259445,3.0308337211608887,-0.0030519653,274.79642090110525,150.2377602111275
138,0.023969650268554688,281.8924992079769,14.070387363433838,145.34245492434084,13.547806655046713,17.298301935195923,0.2499990463256836,17.57227063179016,100,-1.3351441e-08,1390000,2524.3091971874237,2.965533494949341,-0.0037283318,272.86054400583555,149.4578113935782
139,0.025999069213867188,281.19020757802843,14.286609172821045,258.55965750020454,4.2462472886276785,17.539995193481445,0.25501537322998047,17.821009635925293,100,9.155274e-09,1400000,2542.1432070732117,2.9900670051574707,-0.0017275207,274.5073810042051,150.20626427280297
140,0.024999141693115234,284.828093339778,14.517446517944336,216.20429732987205,7.054770716765358,17.775052309036255,0.26799964904785156,18.071049690246582,100,1.2207031e-08,1410000,2560.227258205414,2.9848647117614746,-0.0026072173,275.33041344277086,150.4800163436523
141,0.02597188949584961,281.6488554233462,14.032864093780518,249.66993600690515,4.643223917145411,17.193860054016113,0.25608253479003906,17.475914478302002,100,-4.577637e-09,1420000,2577.7181718349457,2.90162992477417,-0.0039200606,275.44812439378876,150.2995880472549
142,0.019028663635253906,282.1661829062811,14.500951528549194,171.09501893290445,12.399382659182063,17.731796264648438,0.26396965980529785,18.01479458808899,100,6.1035155e-09,1430000,2595.7468812465668,2.963371753692627,-0.0006749817,272.7083371813537,149.16462812208871
143,0.023001670837402344,281.71546163775275,14.302803754806519,254.69394207775278,4.125913956411779,17.614251375198364,0.2595787048339844,17.89683175086975,100,5.340576e-09,1440000,2613.656711578369,3.026756763458252,-0.0011137192,275.18091831986544,150.40698552670474
144,0.021997451782226562,282.69084363902374,14.53927230834961,246.04897251435509,5.596176693754356,17.88748836517334,0.26000022888183594,18.169486045837402,100,-1.525879e-08,1450000,2631.8391988277435,3.0642757415771484,-0.00023308182,274.92934546393803,150.3532672780054
145,0.01900029182434082,284.75738208804137,14.439363479614258,260.9021156266394,4.853879249197462,17.697908878326416,0.2539997100830078,17.97191023826599,100,-9.155274e-09,1460000,2649.8241090774536,3.0007314682006836,0.00058728637,274.17140851152277,150.22785760911603
146,0.018998146057128906,284.1994075174096,14.23409366607666,245.90615641902232,5.032263734616535,17.50369381904602,0.2569701671600342,17.780653476715088,100,4.577637e-09,1470000,2667.6177608966827,3.007472276687622,0.005393909,275.9022575893947,150.79979062598585
147,0.02699732780456543,283.89167510201474,14.40053415298462,263.5892057083089,4.322716609819984,17.5858736038208,0.26400017738342285,17.87687110900879,100,6.1035155e-09,1480000,2685.5076293945312,2.940937042236328,-0.0017524414,275.0562411305921,150.470520090399
148,0.019999027252197266,282.4128991477623,14.680997371673584,261.5948520854551,3.549520801188511,18.161246299743652,0.2589995861053467,18.443243980407715,100,-4.577637e-09,1490000,2703.964872598648,3.164351463317871,0.0033094147,276.1688178532222,150.91054041222472
149,0.025004863739013672,283.2389080322533,14.671403408050537,143.22176002921964,15.064331542311756,18.034998893737793,0.2795119285583496,18.339515686035156,100,-1.5258789e-09,1500000,2722.319389104843,3.1018364429473877,0.00040534057,274.45522554694327,149.98522131814292
150,0.02500009536743164,281.3350582168429,14.279377460479736,241.14997502710673,4.746054881519584,17.514262199401855,0.27104854583740234,17.813311100006104,100,-2.4414062e-08,1510000,2740.1477012634277,2.982640504837036,-0.0012899963,275.6717496942093,150.57051205475045
151,0.02499842643737793,282.3366667226478,14.654058933258057,258.5783522954357,4.338795071814322,18.058252811431885,0.27300047874450684,18.359251022338867,100,0.014491205,1520000,2758.5209522247314,3.130918264389038,0.009228101,275.8261757384391,150.53404395606668
