train-PolicyExecTime,train-MaxReturn,train-StdReturn,train-AverageReturn,n_timesteps,Time-Sampling,ItrTime,Time-Optimization,Time,LossBefore,Itr,train-NumTrajs,train-MinReturn,LossAfter,Time-SampleProc,train-EnvExecTime,train-AverageDiscountedReturn
14.105249881744385,191.54952225941312,49.408517723162056,21.106104709862176,1930000,16.848001956939697,17.138971090316772,0.268998384475708,3296.085194349289,-4.4250488e-08,192,100,-133.25666686388772,-0.0606673,0.021970748901367188,2.4846112728118896,14.797695265194523
14.006160259246826,162.34814024126518,50.83440560571674,26.23035339439194,1940000,16.745627880096436,17.03162670135498,0.2630000114440918,3313.129822254181,-6.1035155e-09,193,100,-68.11796739388437,-0.018922511,0.022998809814453125,2.472965717315674,18.943060622971693
14.039022445678711,196.56879878296039,56.16052306983079,29.0727886727761,1950000,16.825746059417725,17.15574550628662,0.2969996929168701,3330.2985665798187,2.746582e-08,194,100,-119.02690954328641,-0.027803602,0.030999183654785156,2.5246849060058594,20.58345142695386
13.803134202957153,200.80804799406874,56.661368090206714,27.616254749742556,1960000,16.57093048095703,16.85593056678772,0.2569739818572998,3347.169496536255,6.1035155e-09,195,100,-84.4283092138581,-0.036844533,0.028026103973388672,2.5031495094299316,20.502915806727078
13.938133239746094,181.4268720016198,50.085469507328156,27.543840503801405,1970000,16.754597425460815,17.039597272872925,0.2629992961883545,3364.222092628479,-3.5095216e-08,196,100,-73.52476060350142,-0.08732861,0.022000551223754883,2.553941249847412,19.818853207132424
13.895397186279297,186.361646547215,54.30675079386748,20.546747969493946,1980000,16.685118913650513,16.964118242263794,0.25699806213378906,3381.200211286545,6.1035155e-09,197,100,-122.87258279354178,-0.060699828,0.021000385284423828,2.517756223678589,15.39844693975143
14.027945280075073,167.83743442334736,62.429580330063025,28.048857757798995,1990000,16.89455509185791,17.184553861618042,0.2629983425140381,3398.3977653980255,3.4332274e-08,198,100,-71.16902194169519,-0.05595752,0.02700042724609375,2.6015307903289795,18.205983460987007
14.608755826950073,217.83897859584098,60.695127433379,29.593282381732816,2000000,17.58544921875,17.87543797492981,0.25999951362609863,3416.286203145981,2.4414062e-08,199,100,-70.8561703070483,-0.20696169,0.027971267700195312,2.7054004669189453,20.536014858783652
14.7469961643219,182.7947667889931,61.292517443084115,25.94596666726868,2010000,17.728374481201172,18.005338668823242,0.2559967041015625,3434.305542230606,1.525879e-08,200,100,-108.49351253665482,-0.05421376,0.020967483520507812,2.723503828048706,16.6144645335689
13.834782600402832,163.17173302870987,57.48856318797212,23.291640325666748,2020000,16.749192476272583,17.0421941280365,0.26399922370910645,3451.360734462738,-5.569458e-08,201,100,-109.43953029199021,-0.063126266,0.028000593185424805,2.5980496406555176,14.460501192846694
14.047472715377808,211.60290384573764,61.03549216863704,12.449651107642817,2030000,16.800836324691772,17.07883358001709,0.2539684772491455,3468.452567100525,-2.1362304e-08,202,100,-173.98032177064144,-2.282174,0.024028778076171875,2.4930970668792725,8.465724722097947
13.934591054916382,221.50449551475356,65.66739211948064,29.262369619655786,2040000,16.66727638244629,16.947274446487427,0.2540006637573242,3485.4138417243958,2.1362304e-08,203,100,-192.2059433043189,-0.07602774,0.023997783660888672,2.5054280757904053,17.48166916304789
13.909595012664795,147.66795927564525,62.02323440484497,-9.010067234713938,2050000,16.6917724609375,16.975772857666016,0.2539982795715332,3502.4026148319244,-1.0681152e-08,204,100,-191.93436678434708,-0.06177898,0.029000282287597656,2.5181264877319336,-4.887732635960713
