train-PolicyExecTime,train-MaxReturn,Time-Optimization,Time-Sampling,train-NumTrajs,ItrTime,Time,train-EnvExecTime,Time-SampleProc,train-MinReturn,LossAfter,train-StdReturn,Itr,n_timesteps,train-AverageReturn,LossBefore,train-AverageDiscountedReturn
13.357629299163818,-8.235215857588072,0.21996808052062988,15.944725275039673,100,16.171723127365112,534.2192256450653,2.333604335784912,0.00702977180480957,-174.38571432552882,-1.2360133,29.427432495029528,31,320000,-75.85992470991451,0.01810907,-47.950190381452366
13.345637321472168,-16.939399614322916,0.22152137756347656,16.01708197593689,100,16.246639490127563,550.4788641929626,2.4168684482574463,0.0069997310638427734,-127.94778431414547,-0.9035949,22.628406703890906,32,330000,-73.39635858114464,-0.040163938,-45.977030341144335
13.5861496925354,-0.0707199976302676,0.22700119018554688,16.449551582336426,100,16.68455195426941,567.1764161586761,2.6002604961395264,0.00699925422668457,-135.7189842081805,-1.6899209,24.376778961724273,33,340000,-48.976556448151115,-0.011530396,-33.63445720069719
13.607994318008423,11.607206919937772,0.2310011386871338,16.467514038085938,100,16.706514358520508,583.8969304561615,2.6043691635131836,0.007999181747436523,-63.87938336704493,-0.18038024,15.507174564708993,34,350000,-16.38289683179952,-0.012564133,-14.781864543975837
13.537134885787964,9.650337410646326,0.2184906005859375,16.31317448616028,100,16.53966188430786,600.4495918750763,2.5262317657470703,0.007023811340332031,-48.71500622407625,-0.004291968,12.561639827635569,35,360000,-10.72932087181362,0.04085913,-11.678760999361138
13.857621669769287,17.93869921119339,0.21962308883666992,16.885661602020264,100,17.114284992218018,617.5768766403198,2.7584869861602783,0.008001089096069336,-37.900118203615875,-0.04110935,11.341140186746223,36,370000,-2.4930866672216774,-0.010100586,-6.301070981321248
13.831264972686768,25.481438829921117,0.2175753116607666,16.61902952194214,100,16.84357476234436,634.4334530830383,2.533689260482788,0.006969928741455078,-28.542065140458096,-0.050183497,9.986014652114399,37,380000,5.221028204166924,-0.029472364,-2.0824453634068614
13.45080280303955,26.575406479775737,0.2414872646331787,16.396467924118042,100,16.656986951828003,651.1034379005432,2.6345434188842773,0.018028974533081055,-57.36160965853089,-0.026222326,15.3322071793876,38,390000,0.6529797611320661,-0.004710205,-4.456223115245853
13.283146381378174,28.06445804241645,0.2380063533782959,16.077778339385986,100,16.323323726654053,667.4407620429993,2.5387954711914062,0.007539033889770508,-47.59509060762413,-0.04026544,15.556377259012471,39,400000,2.2033319137702394,-0.020145202,-3.5584861166357062
13.860769271850586,29.426386529148495,0.21900033950805664,16.75018310546875,100,16.977182149887085,684.4309463500977,2.621452808380127,0.00799870491027832,-41.62722684518696,-0.030414721,15.246914516424205,40,410000,4.746147257906351,-0.010540723,-2.151977323843636
13.45901083946228,27.39760213989511,0.22296452522277832,16.324487447738647,100,16.555459022521973,701.0004041194916,2.6193933486938477,0.007004976272583008,-40.97994774067132,0.0076801637,14.344795724307483,41,420000,8.33772208145223,0.015602368,-0.1862721619322162
14.037398099899292,29.893973742545896,0.22020578384399414,16.940794229507446,100,17.169003009796143,718.1824083328247,2.641072988510132,0.008002996444702148,-37.27726912882361,0.00285354,12.367848734967467,42,430000,7.092549208508882,0.010074829,-0.8848119628601222
14.05316424369812,26.824760371093834,0.2325127124786377,16.871509313583374,100,17.114018440246582,735.3094272613525,2.5235822200775146,0.008996963500976562,-35.91556739973892,-0.023548987,16.49273260121301,43,440000,1.7854891725318518,-0.004431421,-5.114243210161373
13.89458703994751,29.283109612855295,0.22823286056518555,16.639856100082397,100,16.87608528137207,752.1985125541687,2.4997994899749756,0.006989240646362305,-45.39079719169667,-0.05779121,13.828473737685453,44,450000,5.906379098365005,-0.039943315,-1.6532645266812989
13.539268016815186,31.540082427118836,0.22036457061767578,16.161823272705078,100,16.390312910079956,768.6008243560791,2.3649988174438477,0.007124185562133789,-39.70871354274839,-0.019154957,14.84713076370031,45,460000,4.458321380698453,0.0040532225,-2.89899768829581
13.602829217910767,29.194533165514976,0.2219693660736084,16.53897452354431,100,16.76994013786316,785.3837645053864,2.6615774631500244,0.007996082305908203,-41.08821614411942,-0.17598641,15.899413228324134,46,470000,5.483598493020833,-0.035376344,-2.378400434010371
13.981481313705444,33.6256990195525,0.22500133514404297,16.929951906204224,100,17.1659517288208,802.5627148151398,2.670084238052368,0.007998466491699219,-64.48279877466035,-0.07821962,20.01437047911024,47,480000,4.008918035374655,-0.040185735,-1.3157912926438775
13.554153442382812,36.87812367441523,0.24329185485839844,16.15847420692444,100,16.41029119491577,818.9860050678253,2.347810983657837,0.007523775100708008,-75.21024704460629,-0.041616663,22.91455341598936,48,490000,6.8701541757418285,-0.014428497,-0.3555918191449519
14.16164231300354,45.51641188582402,0.23660969734191895,17.253408670425415,100,17.50101351737976,836.5000157356262,2.7529869079589844,0.009995698928833008,-67.84190277405719,-0.06692388,24.536163283778468,49,500000,14.241115365838683,0.0026875488,3.746178008955041
14.390848398208618,40.22895230215015,0.2549564838409424,17.318602323532104,100,17.582634925842285,854.0945699214935,2.6458258628845215,0.00700068473815918,-79.82273044694392,-0.07648401,25.824168504741575,50,510000,11.716444053076625,-0.032213625,1.8805273193562075
13.644367218017578,53.177149620713806,0.22099733352661133,16.499920129776,100,16.72991681098938,870.838484287262,2.6098151206970215,0.008001565933227539,-79.54438842445623,-0.05600796,24.652288436210778,51,520000,15.019801893813364,0.002915039,3.8181412854694976
14.4245023727417,52.85200871086499,0.22800064086914062,17.442131519317627,100,17.678131103515625,888.5306158065796,2.7385497093200684,0.007998943328857422,-76.12129529373695,-0.022213135,24.401871911433226,52,530000,13.958621752814363,0.013747192,3.067627473598853
