n_timesteps,train-EnvExecTime,train-NumTrajs,Time-SampleProc,train-PolicyExecTime,Itr,Time-Sampling,Time,train-StdReturn,LossBefore,train-MaxReturn,train-MinReturn,ItrTime,train-AverageDiscountedReturn,LossAfter,Time-Optimization,train-AverageReturn
670000,2.490797281265259,100,0.021999597549438477,13.393631935119629,66,16.15399169921875,1110.5995497703552,26.543121422776338,-5.607542e-06,112.81194646567997,-39.34197211910381,16.42699122428894,22.672242470762917,-0.0149594825,0.24899983406066895,37.927215576987095
680000,2.561164617538452,100,0.020999670028686523,13.608257532119751,67,16.413991928100586,1127.296541929245,27.876603409623215,-5.4401003e-06,108.5735146644536,-44.38383781290686,16.681992053985596,25.384331812237615,-0.014747071,0.24600005149841309,43.19176527343054
690000,2.564216136932373,100,0.026968002319335938,13.580788850784302,68,16.407025814056396,1143.990534543991,29.006239049392,-5.2196983e-06,105.03837839433963,-51.904823581279494,16.680992603302002,22.949084157437582,-0.015841518,0.24699878692626953,38.97857841279299
700000,2.467374324798584,100,0.028995037078857422,13.715863943099976,69,16.4330313205719,1160.7095255851746,29.318164841537175,-4.992809e-06,90.10758980970161,-23.31794589469701,16.705992937088013,24.50260903263657,-0.014228518,0.24396657943725586,40.74786757409623
710000,2.5385117530822754,100,0.021996259689331055,13.570326089859009,70,16.361027717590332,1177.3635172843933,28.64438118432941,-4.8308566e-06,109.37792974654754,-25.58334747876965,16.639992237091064,27.102498868937985,-0.009965697,0.2559986114501953,47.24682478980913
720000,2.5587520599365234,100,0.020997047424316406,13.706739664077759,71,16.572994709014893,1194.2135081291199,27.280539259421534,-4.6543146e-06,115.34932960656924,-19.708577912668588,16.83699059486389,27.480178944744175,-0.015882382,0.23999762535095215,45.936643233926915
730000,2.4663169384002686,100,0.022998809814453125,13.601924419403076,72,16.329993963241577,1210.8295001983643,29.879088327851484,-4.49484e-06,109.91419563625617,-34.079704582562705,16.602992296218872,24.673367505118318,-0.016123578,0.2499995231628418,40.569906793253246
740000,2.4960877895355225,100,0.020999670028686523,13.69487714767456,73,16.448992252349854,1227.56649184227,25.740361492000343,-4.2922943e-06,97.91589477662899,-35.120941640369836,16.722991704940796,27.709342840469514,-0.0048836074,0.25099992752075195,46.64896628539968
750000,2.4521615505218506,100,0.025997161865234375,13.392114877700806,74,16.086994171142578,1243.9414837360382,31.369739877813572,-4.1254757e-06,104.51552467146408,-42.56896119688807,16.36199140548706,24.51272625160937,-0.009479232,0.2480003833770752,41.70189982777015
760000,2.5431368350982666,100,0.031000852584838867,13.747212648391724,75,16.547024250030518,1260.7784759998322,31.803713254889377,-3.9903866e-06,122.14427510083308,-24.02501524933567,16.82399296760559,32.45173614798306,-0.013071184,0.24399995803833008,54.27502557678577
