train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,Time-Optimization,Time-SampleProc,Time-Sampling,Time,train-StdReturn,Itr,n_timesteps,train-MinReturn,train-MaxReturn,ItrTime,train-PolicyExecTime,LossAfter,train-AverageReturn,train-NumTrajs
-1.450682980841377,2.6148693561553955,-1.0618336e-05,0.24300098419189453,0.02796030044555664,16.485997915267944,831.0124790668488,22.6573925334815,48,490000,-88.77909661629283,54.41305331467048,16.756959199905396,13.621214628219604,-0.017424572,-3.745095131793607,100
-1.8181417527685682,2.6609573364257812,-1.049901e-05,0.25499963760375977,0.024962425231933594,16.813994884490967,848.1194353103638,20.555050582698247,49,500000,-62.173504670999904,45.579078146120274,17.09395694732666,13.862362623214722,-0.015224934,-3.7272427953181104,100
-3.277201161433477,2.558769702911377,-1.0415656e-05,0.2559988498687744,0.024967670440673828,16.690991401672363,865.106392621994,23.044621390266407,50,510000,-80.28257130217773,40.87549618421855,16.973957538604736,13.88504409790039,-0.015892185,-5.755345516945838,100
-0.4728060347013722,2.58272647857666,-1.03351695e-05,0.24899768829345703,0.02094864845275879,16.631011247634888,882.0223505496979,19.161616750876064,51,520000,-51.35604022312488,44.11952833792312,16.90195655822754,13.782366037368774,-0.016921034,-2.7156240534945617,100
-2.2177813748882738,2.5644545555114746,-1.0236114e-05,0.24899935722351074,0.025999784469604492,16.83495855331421,899.1463084220886,20.040479069788496,52,530000,-58.0156004791489,37.225879532599755,17.109957695007324,14.010794401168823,-0.015253429,-2.748268965154628,100
-1.4281788981601244,2.6506595611572266,-1.0103097e-05,0.24400019645690918,0.02096700668334961,16.82499098777771,916.2492671012878,24.030762847498174,53,540000,-84.96644366968829,41.699503718968096,17.08995819091797,13.934061765670776,-0.01268317,-2.2095745922610304,100
-0.9060287712547784,2.6397194862365723,-9.946505e-06,0.25099992752075195,0.02195882797241211,16.791961431503296,933.3292262554169,22.084028230169633,54,550000,-62.0476255054289,74.00166909887454,17.065959215164185,13.891835451126099,-0.017169794,-1.7191162103709636,100
0.11363287880179133,2.6110737323760986,-9.796322e-06,0.2599971294403076,0.0260012149810791,16.70111918449402,950.3293433189392,19.713648530028202,55,560000,-56.702268171014744,49.914340778870724,16.987117528915405,13.837947368621826,-0.014733068,-0.8648020190188765,100
2.0510963107682354,2.6067404747009277,-9.67368e-06,0.24896693229675293,0.0240323543548584,16.69395899772644,967.3103034496307,18.139285920848092,56,570000,-46.67508888221813,45.04845994290666,16.96795964241028,13.83014178276062,-0.016625809,2.0781352758817544,100
1.356742633661558,2.634686231613159,-9.5621135e-06,0.25299906730651855,0.027968883514404297,16.49699115753174,984.1012630462646,23.2886927656385,57,580000,-91.28974666308848,73.73521641631667,16.77795910835266,13.600265502929688,-0.017981404,0.16531935174555903,100
