train-NumTrajs,LossAfter,train-AverageReturn,Time-SampleProc,Time,Time-Sampling,Itr,ItrTime,train-StdReturn,train-PolicyExecTime,n_timesteps,LossBefore,train-AverageDiscountedReturn,train-MaxReturn,train-MinReturn,Time-Optimization,train-EnvExecTime
100,-0.00095792924,287.46145518643056,0.01900196075439453,3013.1332609653473,17.083502054214478,169,17.36901044845581,6.342873817004011,13.815755128860474,1700000,-5.340576e-09,152.68819739519603,295.10567558313926,252.68879218829255,0.2665064334869385,3.0129337310791016
100,-0.0008382324,288.43985594903563,0.018000364303588867,3030.6477620601654,17.21944761276245,170,17.501444339752197,7.630284803514548,13.899085521697998,1710000,-6.1035155e-09,153.1506686478584,294.8223069188844,221.92816834182966,0.2639963626861572,3.024550676345825
100,-0.0033092378,288.2591049199431,0.02496337890625,3048.118248939514,17.1509747505188,171,17.4564847946167,5.826180333849442,13.853721857070923,1720000,1.5258789e-09,152.9971918240051,295.6368607280616,245.25637121535968,0.2795109748840332,3.01216197013855
100,-0.0023082795,288.5082556346017,0.019999265670776367,3065.4189891815186,17.002740383148193,172,17.286739349365234,5.127007366849337,13.756617546081543,1730000,-1.5258789e-09,152.7970799430544,295.4074066133304,258.45454931732024,0.26399970054626465,2.9964311122894287
100,0.0011740173,288.4999719060884,0.019000530242919922,3082.8834624290466,17.17047667503357,173,17.451473236083984,4.385275309491104,13.925241708755493,1740000,-1.2207031e-08,152.82236090661434,294.3181946714082,270.2885402047582,0.2609992027282715,3.002370834350586
100,0.0009485718,289.3433689562067,0.023968219757080078,3100.3504490852356,17.17301654815674,174,17.452986240386963,4.621195323642033,13.926165580749512,1750000,1.0681152e-08,153.2802394363117,297.2235004841827,260.733667909152,0.25600147247314453,2.98089861869812
100,0.0019774719,289.09736173194057,0.018997907638549805,3117.853534936905,17.20909070968628,175,17.4900860786438,3.8982102841242585,13.947600364685059,1760000,9.155274e-09,153.32216818843196,295.6925155561476,276.0007249005175,0.2609987258911133,3.01424241065979
100,-0.0031426789,288.5543696794036,0.017999649047851562,3135.3669772148132,17.217441082000732,176,17.499441146850586,6.6268416644074675,13.953067541122437,1770000,1.0681152e-08,153.25688775195863,296.1530975287828,249.55421245221982,0.26400041580200195,3.0029516220092773
100,-0.0022345425,287.97217196940767,0.024999618530273438,3152.754168510437,17.08719229698181,177,17.374191284179688,7.33248225806263,13.87126898765564,1780000,2.5939942e-08,152.92962489703666,296.5597846759212,248.50610862332528,0.2599973678588867,2.950655221939087
100,-0.000883313,289.18279015854256,0.018999338150024414,3170.2030494213104,17.144318342208862,178,17.435879468917847,5.933426001609915,13.986200332641602,1790000,-2.1362304e-08,153.33188383985902,296.65347192669344,255.2088110553226,0.2715625762939453,2.9005043506622314
